,ACK1,ACK2,ACK3,AN1,AN2,AN3,AR1,AR2,AR3,SCK2.1,SCK2.2,SCK2.3,SN2.1,SN2.2,SN2.3,SR1,SR2,SR3,YCK1,YCK2,YCK3,YN1,YN2,YN3,YR1,YR2,YR3
ASV_120,32,0,459,0,0,0,0,0,0,97,100,133,0,0,0,0,0,0,0,53,111,0,0,0,0,0,0
ASV_121,20,29,487,0,0,0,0,0,0,92,201,22,0,0,0,0,0,0,0,26,97,0,0,0,0,0,0
ASV_122,0,113,0,0,0,25,47,169,158,0,0,0,0,0,0,41,0,172,0,0,0,0,0,0,142,55,50
ASV_123,0,0,0,0,0,0,0,0,0,453,249,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_124,0,0,0,0,5,7,88,50,0,0,0,0,0,0,0,35,61,39,33,0,0,0,0,0,141,302,200
ASV_125,0,0,0,0,0,27,56,117,40,0,0,0,0,0,0,75,112,32,26,0,0,0,0,0,80,151,235
ASV_126,0,24,0,0,0,0,13,21,163,627,46,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_127,0,0,0,0,18,23,153,95,56,0,0,0,0,0,0,99,170,134,0,0,0,0,0,0,61,34,94
ASV_128,97,19,244,0,0,0,0,36,0,19,0,0,0,0,11,0,0,104,34,0,346,24,0,0,0,0,0
ASV_129,0,45,0,0,0,0,50,65,34,0,0,0,0,0,0,69,26,49,181,0,0,0,0,0,198,108,106
ASV_130,41,25,384,0,0,0,0,0,0,32,184,10,0,0,0,0,0,21,0,0,233,0,0,0,0,0,0
ASV_131,0,30,0,0,0,24,58,169,49,0,0,4,0,0,0,116,133,87,29,18,0,0,0,0,38,40,134
ASV_132,0,29,0,0,0,0,34,85,0,0,0,0,0,0,0,89,58,43,58,59,0,0,0,0,282,78,112
ASV_133,0,0,0,0,0,12,44,271,78,0,0,0,0,0,0,54,109,115,36,0,0,0,0,0,33,47,128
ASV_134,27,0,15,0,0,0,0,0,0,194,280,404,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ASV_135,56,16,131,0,0,0,0,0,0,80,91,111,0,0,0,0,0,0,0,321,117,0,0,0,0,0,0
ASV_136,66,80,66,0,0,0,33,205,0,0,0,0,0,0,0,67,57,54,22,22,39,0,0,0,31,80,98
ASV_137,0,0,0,0,0,0,0,0,0,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
ASV_138,0,0,0,0,0,0,0,16,0,24,35,23,0,55,0,25,12,22,0,28,8,106,352,144,23,0,24
